Keiichiro Toyama,Original Story
Naoko Sato,Original Story
Junya Ohkura,Planning/Scripting
Kohoi Nanri,Planning/Scripting
Eigo Miyazaki,Lead Programmer
Akira Imagawa,Programmer
Hideaki Nagai,Programmer
Masanori Sadamitsu,Programmer
Masahito Komukai,Programmer
Shuichi Sakuma,Programmer
Jitsu Ezaki,Animation
Nobukazu Takamitsu,Graphic System
Takanori Nakayama,Script
Hideaki Nagai,Script
Akira Imagawa,Script
Isao Takahashi,Art Direction
Momoko Ikeda,Design Management
Kazunobu Sato,Character Design
Daisuke Hatanaka,Character Design
Tatsuko Miki,Character Design
Toru Murano,Character Design
Takeshi Iemura,Character Design
Taketoshi Urao,Character Design
Masahiro Miki,Character Design
Masaaki Tokaji,Character Design
Ryuichiro Yokoyama,Character Design
Miki Takahashi,Shibito Design
Shingo Komiya,Background Design
Naomi Horikawa,Background Design
Michiaki Sugai,Background Design
Jun Tsubuku,Background Design
Yoshiko Tanako,Background Design
Motoi Fujita,Background Design
Yuka Yumizaki,Background Design
Masaaki Aoyagi,Background Design
Hiroshi Tamate,Collision
Jitsu Ezaki,Motion Direction
Kei Ohkubo,Motion
Yoshio Namiki,Motion
Gavin Moore,Motion
Yoshifumi Morita,Event Demo
Rumiko Shinoda,Event Demo
Koshi Nakajima,Event Demo
Tomohiko Murakami,Item/Archive
Terukazu Matori,Item/Archive
Keiichiro Toyama,Particle
Yoshifumi Morita,Particle
Nobuharu Noto,Logo Graphic
Daisuke Kondo,Opening Sequence
Minoru Kusakabe,Cutscene Direction
Yoko Tanji,Cutscene Storyboard
Tomomi Watanabe,Regional Localization Manager
Mika Sugiyama,Overseas Coordination
Masaaki Doi,Overseas Coordination
Keiichi Kitahara,Sound Edit
Yuji Yamauchi,Sound Edit
Mega-Alpha,Sound Edit
Naoko Sato,Production Manager
Keiichiro Toyama,Director
Kenji Terazawa,Assistant Producer
Takafumi Fujisawa,Producer
Tomikazu Kirita,Supervisor
Akira Sato,Supervisor
Fumiya Takeno,Supervisor
Yasuhide Kobayashi,Supervisor
